Page,Row,Line,NO.,Category,Level,City,Height,Chest,Waist,Hips,Suit,Shoes,Skin,Eyes,Hair,advertisement,popularity
65,1,1,N1411769,网拍模特,3,广州,173,82,60,87,0,37,黄色,黑色,長发,,0
65,1,2,A111771,时装模特,3,北京,176,88,66,87,0,39,黄色,黑色,長发,,0
65,1,3,N1411788,网拍模特,3,深圳,171,84,64,90,0,0,黄色,黑色,長发,,0
65,1,4,B211836,广告模特,3,广州,186,103,78,94,0,43,黄色,黑色,長发,,0
65,2,1,C311837,内衣模特,3,上海,170,89,61,90,0,37,黄色,黑色,長发,,0
65,2,2,N1411847,网拍模特,3,上海,173,84,60,87,1,37,黄色,黑色,長发,,0
65,2,3,B211848,广告模特,3,上海,170,83,62,90,37,37,黄色,黑色,長发,,0
65,2,4,N1411849,网拍模特,3,上海,173,84,62,88,0,38,黄色,黑色,長发,,0
65,3,1,N1411851,网拍模特,3,上海,171,84,64,87,0,37,黄色,黑色,長发,,0
65,3,2,K1112021,外籍童模,3,广州,97,0,0,0,0,0,白色,褐色,短发,,0
65,3,3,B211680,广告模特,3,济南,168,83,60,85,38,37,黄色,棕色,長发,给湖南卫视拍摄电视购物 给山东拍摄电视购物 济南V恋摄影拍摄样片 济南尚城高端摄影拍摄样片 济南巴黎春天拍摄样片 济宁钟爱一生婚纱摄影拍摄样片 济南色温视觉摄影会馆拍摄样片 济南绯色摄影拍摄样片 宁津金友谊婚纱会馆拍摄样片 给QMINI 拍摄淘宝 给湖南卫视拍摄电视购物 给山东拍摄电视购物 经常拍摄淘宝 婚纱 产品 给济南电视台拍过宣传片,0
65,3,4,A111683,时装模特,3,深圳,175,85,62,88,0,38,黄色,黑色,長发,,0
65,4,1,A111442,时装模特,3,广州,175,87,61,88,0,39,黄色,黑色,長发,T台: 欧尚婚莎模特. 花都慈善夜晚会晚礼服模特. BOBO服装发布模特. 三星IT产品长期路演模特. 情缘酒店开张助兴走秀模特. 国际轻坊城大学生时装周走秀模特. 化装品秀模特. 2008诺蒂芬秋冬季定货会T台模特. 2009周大福珠宝环保义演模特. 2009匹克运动系列定货会T台模特. 2008苹果牌牛仔系列发布T台模特. 2008金秋韩国时装节服装模特. 2008第7届广州鞋业展览会鞋展模特. 2008苹果牌新感觉系列服装发布T台模特. 2009花弄影夏装定货会T台模特. 2009旎旗美甲发布会T台模特. 2009office欧菲姿彩妆秀模特. 2009年潮流前线服装新品发布会 2010年香港休闲服装发布会 2010婚纱秀 2010黛富妮春季新品发布会 2010法国mixtie秋冬新品发布会 2011哥弟服装发布会走秀模特 2011思歌秋冬服装发布会走秀模特 2011中国婚博会——广州站走秀模特 2011中国古今服装走秀模特 2011年广州琶洲网交会展示模特 YZC——2012春夏季服装新品订货会 2011皇家国度化妆品走秀模特,0
65,4,2,B211666,广告模特,3,上海,185,99,79,98,0,42,黄色,棕色,短发,"上海国际会议中心内衣展内衣模特 SLS平面 美邦SKY店面海报男模 热客男模 皮革展奥康展台男模 改装车展男模 车展平面模 沙宣视频男模 羊毛衫平面男模 富二代视频录制 梦缘饼干广告 糖果广告配角 优衣库试衣模特 2011雪碧平面代言，上海电视节展示男模，古摄影婚纱男模，nike走秀模,珠宝展示走秀，品牌走秀模 乔治白服饰走秀 常州的宣传片，纺织品展，卫浴展男模，2011cj 搜狐站台战地风云cos，淘宝长期模特 茶广告代言 利郎L2品牌网店平面代言模特 品牌墨镜平面广告 路演 电信tvc拍摄 平面模特 品牌发表会男礼仪 高档化妆品品牌男礼仪 运动品牌礼仪 高校tvc diro男礼仪，电子展礼仪等拥有平面走秀拍摄的经验",0
